,name,cuisine,price,rank,neighborhood,reviews,avg
5818,More Restaurant,Sushi,2.0,136, Jersey City,24.0,4.0
5819,Trionas,American,,"5,057", Manhattan,7.0,5.0
5820,Papa John's,,,"5,058", Manhattan,8.0,4.5
5821,Africa Kine Restaurant,African,2.0,"5,059", Manhattan,17.0,4.5
5822,Mama's Too!,Pizza,1.0,"5,060", Manhattan,15.0,4.0
5823,Maison Kayser,Cafe,,"5,061", Manhattan,6.0,4.5
5824,Coco,,,"5,062", Manhattan,9.0,4.5
5825,Subway,American,1.0,"5,063", Manhattan,30.0,4.0
5826,Taco Bell,,,"5,064", Manhattan,18.0,3.5
5827,Fields Good Chicken,American,,"5,065", Manhattan,11.0,4.0
5828,Hachi Restaurant & Bar,Sushi,2.0,"5,066", Manhattan,11.0,4.5
5829,Fluem Pasta,Italian,,"5,067", Manhattan,5.0,5.0
5830,Bella Vita Trattoria,Italian,2.0,"5,068", Manhattan,28.0,3.5
5831,King Of Falafel& Shawarma,Middle Eastern,1.0,"5,069", Manhattan,7.0,4.5
5832,Spring St Finest Deli,Deli,2.0,"5,070", Manhattan,5.0,5.0
5833,American Hall,American,2.0,"5,071", Manhattan,5.0,5.0
5834,Joe's Bar NYC,,,"5,072", Manhattan,7.0,5.0
5835,Hanbat,Asian,2.0,"5,073", Manhattan,25.0,3.5
5836,16 Handles,,,"5,074", Manhattan,7.0,4.5
5837,Tasty Delicatessen,,,"5,075", Manhattan,11.0,4.5
5838,Le Petit Parisien,French,,"5,076", Manhattan,6.0,4.5
5839,Ristoro del Cinghiale,,,"5,077", Manhattan,5.0,5.0
5840,Manganaro's Hero Boy,Italian,2.0,"5,078", Manhattan,39.0,3.5
5841,Neerob,International,1.0,"5,079", Manhattan,9.0,5.0
5842,Sushi Star,Japanese,2.0,"5,080", Manhattan,8.0,4.5
5843,Natureworks Restaurant,,,"5,081", Manhattan,8.0,5.0
5844,As Is NYC,Bar,2.0,"5,082", Manhattan,16.0,4.0
5845,Sahara's Turkish Cuisine,Mediterranean,2.0,"5,083", Manhattan,33.0,4.0
5846,Sophie's Cuban Cuisine,,,"5,084", Manhattan,7.0,4.5
5847,Meltshop,,,"5,085", Manhattan,10.0,4.0
5848,Chipotle Mexican Grill,Mexican,1.0,"5,086", Manhattan,17.0,4.0
5849,Caffe Marchio,Italian,,"5,087", Manhattan,7.0,4.5
